"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5739","Verify No, Cancel Button Functionality on Delete Account Screen @[111228] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","0","Verify adding a New License in Edit License to practice slide out @[111396] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","8287","Verify Save Changes with empty required fields @[111259] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","6556","Verify languages spoken field in Edit profile details @[111393] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","1","Verify deleting a License in Edit License to practice slide out @[111397] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","3261","Verify Back to Password Page Link on Forgot Password Page @[111172] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/forgot-password.spec.js","",""
"","0","Spanish - Verify Clicking the ""Aceptar"" Button on the ""Acuerdo de Licencia de Usuario Final"" Page @[112520] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider - Spanish @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","5035","Verify Password masking and visibility toggle on Password Page @[111165] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/password.spec.js","",""
"","9683","Verify Delete Account Button Functionality on Account Settings Page @[111227] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-my-account.spec.js","",""
"","0","Verify the Verification Link in Users Email @[111175] @unauthenticated @functional","single-unauthenticated","2026-02-26","skipped","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/forgot-password.spec.js","",""
